day,male,female
2021-01-15,823436,480910
2021-01-16,884223,447950
2021-01-17,858385,434202
2021-01-18,747660,425093
2021-01-19,823933,456563
2021-01-20,927453,516604
2021-01-21,845548,463188
2021-01-22,845631,474534
2021-01-23,860786,445631
2021-01-24,902525,457888
2021-01-25,786501,440828
2021-01-26,864761,453084
2021-01-27,879585,466915
2021-01-28,826749,443643
2021-01-29,839171,455569
2021-01-30,909482,450269
2021-01-31,840910,422194
2021-02-01,816314,426997
2021-02-02,919171,466915
2021-02-03,845714,448944
2021-02-04,813913,457225
2021-02-05,817391,473871
2021-02-06,969358,448033
2021-02-07,902939,436190
2021-02-08,784596,432380
2021-02-09,805383,453995
2021-02-10,813498,441904
2021-02-11,790724,452091
2021-02-12,808115,475445
2021-02-13,943685,444223
2021-02-14,848944,437184
2021-02-15,726459,408530
2021-02-16,789979,448530
2021-02-17,797929,449523
2021-02-18,787660,438260
2021-02-19,802815,448447
2021-02-20,917846,439337
2021-02-21,817225,401407
2021-02-22,785010,448033
2021-02-23,811594,439917
2021-02-24,807287,449523
2021-02-25,827246,443643
2021-02-26,824347,460207
2021-02-27,854409,409937
2021-02-28,798509,397515
2021-03-01,715942,415983
2021-03-02,774409,432960
2021-03-03,825921,454161
2021-03-04,846376,466004
2021-03-05,799668,452256
2021-03-06,830807,407784
2021-03-07,842981,411180
2021-03-08,815072,514782
2021-03-09,790724,440496
2021-03-10,770931,459296
2021-03-11,796107,451345
2021-03-12,830559,469068
2021-03-13,852753,441325
2021-03-14,820952,445714
2021-03-15,750393,414658
2021-03-16,750310,419875
2021-03-17,752298,432298
2021-03-18,826997,431552
2021-03-19,822525,452339
2021-03-20,861118,426004
2021-03-21,836521,413250
2021-03-22,727784,406293
2021-03-23,747743,404637
2021-03-24,727619,417391
2021-03-25,785424,432132
2021-03-26,796604,454989
2021-03-27,775155,407204
2021-03-28,708571,395693
2021-03-29,678178,395445
2021-03-30,687701,387494
2021-03-31,749316,409440
2021-04-01,689192,415320
2021-04-02,736645,395610
2021-04-03,736894,373913
2021-04-04,697639,363478
2021-04-05,738219,390641
2021-04-06,733002,399585
2021-04-07,717267,429316
2021-04-08,748737,423519
2021-04-09,805631,467743
2021-04-10,820455,414575
2021-04-11,799006,420455
2021-04-12,699047,407039
2021-04-13,706749,382774
2021-04-14,707908,387908
2021-04-15,687370,404140
2021-04-16,714368,403395
2021-04-17,596024,323643
2021-04-18,795693,376397
2021-04-19,848944,387246
2021-04-20,887950,408778
2021-04-21,713706,374409
2021-04-22,677184,375486
2021-04-23,691345,377971
2021-04-24,691428,341780
2021-04-25,697722,365962
2021-04-26,629316,357267
2021-04-27,694244,398426
2021-04-28,696563,399006
2021-04-29,732505,411511
2021-04-30,707826,398426
2021-05-01,678923,349813
2021-05-02,732008,387080
2021-05-03,644886,367701
2021-05-04,717763,391552
2021-05-05,710973,405465
2021-05-06,773416,422360
2021-05-07,833374,439171
2021-05-08,902028,422277
2021-05-09,783768,388571
2021-05-10,703022,397598
2021-05-11,744927,425258
2021-05-12,719999,407287
2021-05-13,777805,426501
2021-05-14,753209,403064
2021-05-15,792298,393540
2021-05-16,746583,387412
2021-05-17,708654,384347
2021-05-18,763975,410848
2021-05-19,752049,404803
2021-05-20,723064,410186
2021-05-21,721987,413995
2021-05-22,869979,496645
2021-05-23,787826,373747
2021-05-24,641904,367453
2021-05-25,648198,369026
2021-05-26,803561,403726
2021-05-27,685714,381283
2021-05-28,691097,387246
2021-05-29,727619,351635
2021-05-30,566459,307826
2021-05-31,588157,331759
2021-06-01,663519,363643
2021-06-02,690103,374244
2021-06-03,655072,374492
2021-06-04,663933,387826
2021-06-05,624347,330103
2021-06-06,673043,348985
2021-06-07,653747,366293
2021-06-08,683975,384927
2021-06-09,713623,392463
2021-06-10,720828,390393
2021-06-11,757763,397101
2021-06-12,768115,361739
2021-06-13,799999,368364
2021-06-14,741449,392463
2021-06-15,745258,387991
2021-06-16,764472,409192
2021-06-17,748322,398923
2021-06-18,935652,452836
2021-06-19,665341,339213
2021-06-20,639337,348240
2021-06-21,674948,365134
2021-06-22,783850,392215
2021-06-23,692670,370434
2021-06-24,651180,367453
2021-06-25,735900,407536
2021-06-26,722898,359089
2021-06-27,664265,346666
2021-06-28,852919,434699
2021-06-29,935072,458219
2021-06-30,714865,415983
2021-07-01,693084,389151
2021-07-02,766211,403726
2021-07-03,795362,404140
2021-07-04,634699,364886
2021-07-05,693747,394368
2021-07-06,787826,413913
2021-07-07,992712,502028
