day,male,female
2020-11-08,84,104
2020-11-09,83,101
2020-11-10,76,124
2020-11-11,62,99
2020-11-12,69,113
2020-11-13,95,128
2020-11-14,99,115
2020-11-15,88,125
2020-11-16,42,98
2020-11-17,81,119
2020-11-18,76,118
2020-11-19,79,114
2020-11-20,109,138
2020-11-21,75,80
2020-11-22,69,95
2020-11-23,73,112
2020-11-24,80,107
2020-11-25,89,114
2020-11-26,76,105
2020-11-27,84,117
2020-11-28,68,109
2020-11-29,83,120
2020-11-30,80,116
2020-12-01,102,119
2020-12-02,86,114
2020-12-03,74,106
2020-12-04,72,135
2020-12-05,66,106
2020-12-06,108,106
2020-12-07,56,108
2020-12-08,86,96
2020-12-09,68,101
2020-12-10,97,85
2020-12-11,109,136
2020-12-12,97,94
2020-12-13,76,106
2020-12-14,101,162
2020-12-15,86,122
2020-12-16,82,128
2020-12-17,83,114
2020-12-18,105,134
2020-12-19,111,231
2020-12-20,80,162
2020-12-21,74,117
2020-12-22,64,111
2020-12-23,69,121
2020-12-24,109,168
2020-12-25,48,77
2020-12-26,85,98
2020-12-27,75,100
2020-12-28,68,116
2020-12-29,73,120
2020-12-30,94,129
2020-12-31,123,163
2021-01-01,93,94
2021-01-02,69,113
2021-01-03,77,93
2021-01-04,95,176
2021-01-05,71,128
2021-01-06,121,136
2021-01-07,95,112
2021-01-08,89,112
2021-01-09,89,88
2021-01-10,70,102
2021-01-11,70,104
2021-01-12,75,117
2021-01-13,86,123
2021-01-14,104,128
2021-01-15,86,122
2021-01-16,84,89
2021-01-17,67,97
2021-01-18,82,115
2021-01-19,79,103
2021-01-20,106,108
2021-01-21,89,122
2021-01-22,97,117
2021-01-23,74,87
2021-01-24,64,119
2021-01-25,92,108
2021-01-26,92,120
2021-01-27,81,116
2021-01-28,80,128
2021-01-29,90,103
2021-01-30,84,117
2021-01-31,87,119
2021-02-01,105,110
2021-02-02,139,216
2021-02-03,82,119
2021-02-04,81,122
2021-02-05,85,131
2021-02-06,75,127
2021-02-07,79,103
2021-02-08,72,92
2021-02-09,70,99
2021-02-10,83,114
2021-02-11,103,114
2021-02-12,97,119
2021-02-13,67,98
2021-02-14,60,102
2021-02-15,80,99
2021-02-16,70,139
2021-02-17,82,84
2021-02-18,87,133
2021-02-19,117,121
2021-02-20,67,102
2021-02-21,62,100
2021-02-22,91,111
2021-02-23,74,100
2021-02-24,81,92
2021-02-25,90,101
2021-02-26,75,104
2021-02-27,76,82
2021-02-28,53,92
2021-03-01,76,91
2021-03-02,73,93
2021-03-03,71,116
2021-03-04,92,101
2021-03-05,80,135
2021-03-06,77,67
2021-03-07,76,94
2021-03-08,85,147
2021-03-09,82,134
2021-03-10,99,216
2021-03-11,98,179
2021-03-12,103,152
2021-03-13,111,168
2021-03-14,87,148
2021-03-15,76,90
2021-03-16,72,85
2021-03-17,60,104
2021-03-18,92,111
2021-03-19,82,104
2021-03-20,67,86
2021-03-21,80,86
2021-03-22,74,85
2021-03-23,78,93
2021-03-24,57,103
2021-03-25,87,137
2021-03-26,69,85
2021-03-27,74,82
2021-03-28,61,69
2021-03-29,71,99
2021-03-30,78,86
2021-03-31,71,95
2021-04-01,67,98
2021-04-02,48,86
2021-04-03,62,76
2021-04-04,84,71
2021-04-05,61,90
2021-04-06,88,135
2021-04-07,87,106
2021-04-08,77,94
2021-04-09,241,349
2021-04-10,111,210
2021-04-11,64,109
2021-04-12,97,104
2021-04-13,70,86
2021-04-14,66,85
2021-04-15,44,71
2021-04-16,94,168
2021-04-17,64,123
2021-04-18,79,89
2021-04-19,98,100
2021-04-20,69,77
2021-04-21,64,77
2021-04-22,74,81
2021-04-23,83,73
2021-04-24,53,76
2021-04-25,70,88
2021-04-26,52,75
2021-04-27,73,87
2021-04-28,56,116
2021-04-29,69,78
2021-04-30,78,104
2021-05-01,68,65
2021-05-02,54,81
2021-05-03,59,64
2021-05-04,79,82
2021-05-05,66,93
2021-05-06,69,109
2021-05-07,97,126
2021-05-08,79,113
2021-05-09,64,71
2021-05-10,72,79
2021-05-11,48,98
2021-05-12,73,73
2021-05-13,60,94
2021-05-14,76,90
2021-05-15,82,79
2021-05-16,57,77
2021-05-17,58,86
2021-05-18,90,70
2021-05-19,69,88
2021-05-20,81,107
2021-05-21,101,102
2021-05-22,88,127
2021-05-23,70,91
2021-05-24,53,81
2021-05-25,62,74
2021-05-26,81,96
2021-05-27,80,97
2021-05-28,69,84
2021-05-29,68,68
2021-05-30,55,67
2021-05-31,53,80
2021-06-01,60,58
2021-06-02,61,80
2021-06-03,76,90
2021-06-04,52,86
2021-06-05,67,71
2021-06-06,64,71
2021-06-07,60,77
2021-06-08,59,89
2021-06-09,74,81
2021-06-10,62,81
2021-06-11,72,91
2021-06-12,59,75
2021-06-13,67,75
2021-06-14,66,75
2021-06-15,60,80
2021-06-16,51,81
2021-06-17,68,88
2021-06-18,75,89
2021-06-19,61,79
2021-06-20,50,91
2021-06-21,76,71
2021-06-22,54,70
2021-06-23,71,84
2021-06-24,86,72
2021-06-25,76,104
2021-06-26,83,63
2021-06-27,49,75
2021-06-28,59,97
2021-06-29,86,91
2021-06-30,93,112
2021-07-01,63,83
2021-07-02,70,91
2021-07-03,58,76
2021-07-04,55,62
2021-07-05,62,76
2021-07-06,66,85
2021-07-07,71,97
