day,male,female
2020-09-01,292799,183070
2020-09-02,298451,186950
2020-09-03,310558,198655
2020-09-04,317280,195043
2020-09-05,303133,167954
2020-09-06,287482,174007
2020-09-07,293669,181766
2020-09-08,326811,189324
2020-09-09,321260,194006
2020-09-10,309755,195110
2020-09-11,329052,195210
2020-09-12,328818,177586
2020-09-13,295408,172201
2020-09-14,315641,188087
2020-09-15,320357,191699
2020-09-16,319420,191565
2020-09-17,326778,190996
2020-09-18,333801,196046
2020-09-19,332029,183539
2020-09-20,308886,177218
2020-09-21,298150,183304
2020-09-22,339787,204842
2020-09-23,314905,198454
2020-09-24,315641,195578
2020-09-25,311895,200996
2020-09-26,326209,179659
2020-09-27,323199,179893
2020-09-28,302297,191063
2020-09-29,309788,186783
2020-09-30,318450,198722
2020-10-01,334537,211798
2020-10-02,335875,207417
2020-10-03,340724,183371
2020-10-04,388515,198722
2020-10-05,328049,190495
2020-10-06,318885,196548
2020-10-07,306344,197919
2020-10-08,317380,203270
2020-10-09,319153,203337
2020-10-10,300993,196983
2020-10-11,294003,178388
2020-10-12,296444,191197
2020-10-13,293301,194006
2020-10-14,321995,200461
2020-10-15,283502,188589
2020-10-16,324504,204742
2020-10-17,356710,191231
2020-10-18,304136,177519
2020-10-19,289588,186515
2020-10-20,336744,201933
2020-10-21,335875,215176
2020-10-22,328216,216313
2020-10-23,354235,222935
2020-10-24,352764,199224
2020-10-25,310089,183672
2020-10-26,286980,188622
2020-10-27,313033,199090
2020-10-28,313501,196682
2020-10-29,331962,209524
2020-10-30,329888,211130
2020-10-31,412762,247148
2020-11-01,353834,204207
2020-11-02,313033,196281
2020-11-03,334871,212635
2020-11-04,351627,218521
2020-11-05,354402,225209
2020-11-06,371425,241262
2020-11-07,429149,261797
2020-11-08,357145,209223
2020-11-09,324704,205043
2020-11-10,327882,216380
2020-11-11,329721,216113
2020-11-12,345841,222434
2020-11-13,353433,235376
2020-11-14,322932,214140
2020-11-15,336008,205611
2020-11-16,307916,202334
2020-11-17,316578,213972
2020-11-18,340523,219624
2020-11-19,339754,213738
2020-11-20,338751,223972
2020-11-21,344269,195980
2020-11-22,321327,187217
2020-11-23,313300,201096
2020-11-24,325607,215912
2020-11-25,334637,219290
2020-11-26,341359,208989
2020-11-27,333734,233604
2020-11-28,347814,195478
2020-11-29,349787,202066
2020-11-30,321327,238754
2020-12-01,336242,226313
2020-12-02,349586,226213
2020-12-03,316042,216380
2020-12-04,321159,216213
2020-12-05,327045,181833
2020-12-06,328818,183973
2020-12-07,294772,184408
2020-12-08,322464,202568
2020-12-09,309287,197652
2020-12-10,318818,199993
2020-12-11,337446,215377
2020-12-12,340991,188689
2020-12-13,336176,194541
2020-12-14,303769,193237
2020-12-15,326778,203504
2020-12-16,350523,203170
2020-12-17,323735,210594
2020-12-18,320457,208922
2020-12-19,383666,216982
2020-12-20,362997,192200
2020-12-21,331092,207183
2020-12-22,324838,196347
2020-12-23,338216,204541
2020-12-24,388281,228520
2020-12-25,306478,186716
2020-12-26,292899,151165
2020-12-27,294037,160395
2020-12-28,305608,168054
2020-12-29,345707,188689
2020-12-30,375940,210962
2020-12-31,450887,274071
2021-01-01,417410,253703
2021-01-02,371392,195411
2021-01-03,341894,194140
2021-01-04,388415,246212
2021-01-05,345707,221096
2021-01-06,387946,230962
2021-01-07,342229,205043
2021-01-08,368482,219190
2021-01-09,380957,209424
2021-01-10,351091,203672
2021-01-11,343533,209758
2021-01-12,364803,211330
2021-01-13,362563,215979
2021-01-14,338818,214073
2021-01-15,340657,219290
2021-01-16,355673,201866
2021-01-17,347379,198956
2021-01-18,310625,200294
2021-01-19,344570,206080
2021-01-20,368950,237818
2021-01-21,347312,214909
2021-01-22,357881,220159
2021-01-23,356175,202702
2021-01-24,366777,204006
2021-01-25,331092,201832
2021-01-26,355539,213972
2021-01-27,351225,211096
2021-01-28,348449,205310
2021-01-29,350222,218521
2021-01-30,377044,205611
2021-01-31,352697,199892
2021-02-01,346008,206682
2021-02-02,379552,221531
2021-02-03,357446,213170
2021-02-04,338450,214474
2021-02-05,337079,225678
2021-02-06,384635,202367
2021-02-07,368315,199692
2021-02-08,326577,198990
2021-02-09,336644,205611
2021-02-10,334503,206949
2021-02-11,331962,214240
2021-02-12,336644,221363
2021-02-13,368883,204575
2021-02-14,360054,214541
2021-02-15,308618,194475
2021-02-16,330022,206615
2021-02-17,332363,210126
2021-02-18,337714,206113
2021-02-19,339754,212869
2021-02-20,374469,198521
2021-02-21,342363,187920
2021-02-22,330156,206280
2021-02-23,339854,202167
2021-02-24,342095,212434
2021-02-25,339687,206615
2021-02-26,352295,220728
2021-02-27,353734,187619
2021-02-28,327781,189291
2021-03-01,306779,194508
2021-03-02,321995,200862
2021-03-03,346844,212133
2021-03-04,355004,226581
2021-03-05,340891,213905
2021-03-06,343132,191565
2021-03-07,349352,186983
2021-03-08,336978,251864
2021-03-09,325206,204775
2021-03-10,328249,214909
2021-03-11,331427,211598
2021-03-12,350724,224574
2021-03-13,350188,198220
2021-03-14,336945,203103
2021-03-15,312130,194776
2021-03-16,321393,197317
2021-03-17,326577,205745
2021-03-18,353232,201397
