day,male,female
2021-03-10,49894,35552
2021-03-11,49544,36092
2021-03-12,49904,34272
2021-03-13,55963,32963
2021-03-14,55671,33211
2021-03-15,44030,26105
2021-03-16,44424,26587
2021-03-17,45402,27760
2021-03-18,49855,28675
2021-03-19,48079,27288
2021-03-20,50775,26217
2021-03-21,49106,25171
2021-03-22,42803,25317
2021-03-23,48026,31055
2021-03-24,42317,26704
2021-03-25,45057,28242
2021-03-26,42507,26490
2021-03-27,42326,24733
2021-03-28,41601,24528
2021-03-29,38793,25215
2021-03-30,39100,23935
2021-03-31,43008,25239
2021-04-01,39742,24465
2021-04-02,40112,22470
2021-04-03,41650,22679
2021-04-04,38311,21229
2021-04-05,44672,24850
2021-04-06,45300,27950
2021-04-07,42229,28797
2021-04-08,42268,27152
2021-04-09,55477,38963
2021-04-10,50293,31133
2021-04-11,45616,25638
2021-04-12,39377,24913
2021-04-13,39178,23808
2021-04-14,39085,24261
2021-04-15,38852,24275
2021-04-16,42764,28680
2021-04-17,36121,23102
2021-04-18,48269,24183
2021-04-19,54489,24626
2021-04-20,54708,24684
2021-04-21,41961,22358
2021-04-22,37070,22372
2021-04-23,37596,22538
2021-04-24,40706,21117
2021-04-25,42774,23098
2021-04-26,36944,22353
2021-04-27,39684,24850
2021-04-28,41192,24193
2021-04-29,41392,25356
2021-04-30,40005,24825
2021-05-01,38175,21277
2021-05-02,43446,25351
2021-05-03,37085,22650
2021-05-04,42580,23759
2021-05-05,41733,25093
2021-05-06,45300,25774
2021-05-07,57565,29532
2021-05-08,58119,28602
2021-05-09,47573,24597
2021-05-10,41149,25327
2021-05-11,44726,26957
2021-05-12,42896,25915
2021-05-13,44541,25521
2021-05-14,42005,25463
2021-05-15,45188,23983
2021-05-16,44190,24241
2021-05-17,39854,23297
2021-05-18,44740,25842
2021-05-19,43733,24762
2021-05-20,40677,24966
2021-05-21,41115,25093
2021-05-22,45947,28115
2021-05-23,47441,24003
2021-05-24,36618,22470
2021-05-25,37357,22737
2021-05-26,52167,26845
2021-05-27,41952,24898
2021-05-28,38686,23876
2021-05-29,39552,20903
2021-05-30,32228,17369
2021-05-31,32841,18800
2021-06-01,36657,20572
2021-06-02,38744,22431
2021-06-03,39577,24222
2021-06-04,37080,22533
2021-06-05,33970,18946
2021-06-06,39859,24543
2021-06-07,36705,21866
2021-06-08,39105,24587
2021-06-09,40969,25171
2021-06-10,39134,23910
2021-06-11,41679,23847
2021-06-12,41402,22124
2021-06-13,40336,21676
2021-06-14,45139,24767
2021-06-15,42103,23935
2021-06-16,44911,24986
2021-06-17,42906,25448
2021-06-18,54751,27595
2021-06-19,39509,22528
2021-06-20,36895,23209
2021-06-21,40151,23136
2021-06-22,47140,25497
2021-06-23,39255,23492
2021-06-24,39017,24061
2021-06-25,47218,27565
2021-06-26,50926,27648
2021-06-27,40097,23146
2021-06-28,49690,27930
2021-06-29,54406,29016
2021-06-30,43845,25862
2021-07-01,39791,24368
2021-07-02,48391,25035
2021-07-03,42249,23278
2021-07-04,38248,22971
2021-07-05,44322,26144
2021-07-06,46629,28485
2021-07-07,54197,30013
